Timestamp.2014,2014,Timestamp.2013,2013,Timestamp.2012,2012,Timestamp.2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-10-2013,NA,31-10-2012,NA,31-10-2011,NA,31-10-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-11-2013,NA,01-11-2012,NA,01-11-2011,NA,01-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-11-2013,NA,02-11-2012,NA,02-11-2011,NA,02-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-11-2013,NA,03-11-2012,NA,03-11-2011,NA,03-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2013,NA,04-11-2012,NA,04-11-2011,NA,04-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-11-2013,NA,05-11-2012,NA,05-11-2011,NA,05-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-11-2013,NA,06-11-2012,NA,06-11-2011,NA,06-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-11-2013,NA,07-11-2012,NA,07-11-2011,NA,07-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-11-2013,NA,08-11-2012,NA,08-11-2011,NA,08-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-11-2013,NA,09-11-2012,NA,09-11-2011,NA,09-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-11-2013,NA,10-11-2012,NA,10-11-2011,NA,10-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-11-2013,NA,11-11-2012,NA,11-11-2011,NA,11-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-11-2013,NA,12-11-2012,NA,12-11-2011,NA,12-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-11-2013,NA,13-11-2012,NA,13-11-2011,NA,13-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-11-2013,NA,14-11-2012,NA,14-11-2011,NA,14-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2013,NA,15-11-2012,NA,15-11-2011,NA,15-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-11-2013,NA,16-11-2012,NA,16-11-2011,NA,16-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-11-2013,NA,17-11-2012,NA,17-11-2011,NA,17-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-11-2013,NA,18-11-2012,NA,18-11-2011,NA,18-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-11-2013,NA,19-11-2012,NA,19-11-2011,NA,19-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2013,NA,20-11-2012,NA,20-11-2011,NA,20-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-11-2013,NA,21-11-2012,NA,21-11-2011,NA,21-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-11-2013,NA,22-11-2012,NA,22-11-2011,NA,22-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-11-2013,NA,23-11-2012,NA,23-11-2011,NA,23-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-11-2013,NA,24-11-2012,NA,24-11-2011,NA,24-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-11-2013,NA,25-11-2012,NA,25-11-2011,NA,25-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-11-2013,NA,26-11-2012,NA,26-11-2011,NA,26-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-11-2013,NA,27-11-2012,NA,27-11-2011,NA,27-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-11-2013,NA,28-11-2012,NA,28-11-2011,NA,28-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-11-2013,NA,29-11-2012,NA,29-11-2011,NA,29-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-11-2013,NA,30-11-2012,NA,30-11-2011,NA,30-11-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-12-2013,NA,01-12-2012,NA,01-12-2011,NA,01-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-12-2013,NA,02-12-2012,NA,02-12-2011,NA,02-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-12-2013,NA,03-12-2012,NA,03-12-2011,NA,03-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-12-2013,NA,04-12-2012,NA,04-12-2011,NA,04-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-12-2013,NA,05-12-2012,NA,05-12-2011,NA,05-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-12-2013,NA,06-12-2012,NA,06-12-2011,NA,06-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-12-2013,NA,07-12-2012,NA,07-12-2011,NA,07-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-12-2013,NA,08-12-2012,NA,08-12-2011,NA,08-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-12-2013,NA,09-12-2012,NA,09-12-2011,NA,09-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-12-2013,NA,10-12-2012,NA,10-12-2011,NA,10-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-12-2013,NA,11-12-2012,NA,11-12-2011,NA,11-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-12-2013,NA,12-12-2012,NA,12-12-2011,NA,12-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-12-2013,NA,13-12-2012,NA,13-12-2011,NA,13-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-12-2013,NA,14-12-2012,NA,14-12-2011,NA,14-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-12-2013,NA,15-12-2012,NA,15-12-2011,NA,15-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-12-2013,NA,16-12-2012,NA,16-12-2011,NA,16-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-12-2013,NA,17-12-2012,NA,17-12-2011,NA,17-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-12-2013,NA,18-12-2012,NA,18-12-2011,NA,18-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-12-2013,NA,19-12-2012,NA,19-12-2011,NA,19-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-12-2013,NA,20-12-2012,NA,20-12-2011,NA,20-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-12-2013,NA,21-12-2012,NA,21-12-2011,NA,21-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-12-2013,NA,22-12-2012,NA,22-12-2011,NA,22-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-12-2013,NA,23-12-2012,NA,23-12-2011,NA,23-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-12-2013,NA,24-12-2012,NA,24-12-2011,NA,24-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-12-2013,NA,25-12-2012,NA,25-12-2011,NA,25-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-12-2013,NA,26-12-2012,NA,26-12-2011,NA,26-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-12-2013,NA,27-12-2012,NA,27-12-2011,NA,27-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-12-2013,NA,28-12-2012,NA,28-12-2011,NA,28-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-12-2013,NA,29-12-2012,NA,29-12-2011,NA,29-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-12-2013,NA,30-12-2012,NA,30-12-2011,NA,30-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-12-2013,NA,31-12-2012,NA,31-12-2011,NA,31-12-2010,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2014,NA,01-01-2013,NA,01-01-2012,NA,01-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2014,NA,02-01-2013,NA,02-01-2012,NA,02-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2014,NA,03-01-2013,NA,03-01-2012,NA,03-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-01-2014,NA,04-01-2013,NA,04-01-2012,NA,04-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2014,NA,05-01-2013,NA,05-01-2012,NA,05-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2014,NA,06-01-2013,NA,06-01-2012,NA,06-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-01-2014,NA,07-01-2013,NA,07-01-2012,NA,07-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-01-2014,NA,08-01-2013,NA,08-01-2012,NA,08-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-01-2014,NA,09-01-2013,NA,09-01-2012,NA,09-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2014,NA,10-01-2013,NA,10-01-2012,NA,10-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-01-2014,NA,11-01-2013,NA,11-01-2012,NA,11-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2014,NA,12-01-2013,NA,12-01-2012,NA,12-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2014,NA,13-01-2013,NA,13-01-2012,NA,13-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-01-2014,NA,14-01-2013,NA,14-01-2012,NA,14-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-01-2014,NA,15-01-2013,NA,15-01-2012,NA,15-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-01-2014,NA,16-01-2013,NA,16-01-2012,NA,16-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-01-2014,NA,17-01-2013,NA,17-01-2012,NA,17-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-01-2014,NA,18-01-2013,NA,18-01-2012,NA,18-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-01-2014,NA,19-01-2013,NA,19-01-2012,NA,19-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-01-2014,NA,20-01-2013,NA,20-01-2012,NA,20-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-01-2014,NA,21-01-2013,NA,21-01-2012,NA,21-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-01-2014,NA,22-01-2013,NA,22-01-2012,NA,22-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-01-2014,NA,23-01-2013,NA,23-01-2012,NA,23-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-01-2014,NA,24-01-2013,NA,24-01-2012,NA,24-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-01-2014,NA,25-01-2013,NA,25-01-2012,NA,25-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-01-2014,NA,26-01-2013,NA,26-01-2012,NA,26-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2014,NA,27-01-2013,NA,27-01-2012,NA,27-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-01-2014,NA,28-01-2013,NA,28-01-2012,NA,28-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-01-2014,NA,29-01-2013,NA,29-01-2012,NA,29-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-01-2014,NA,30-01-2013,NA,30-01-2012,NA,30-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2014,NA,31-01-2013,NA,31-01-2012,NA,31-01-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2014,NA,01-02-2013,NA,01-02-2012,NA,01-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2014,NA,02-02-2013,NA,02-02-2012,NA,02-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-02-2014,NA,03-02-2013,NA,03-02-2012,NA,03-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-02-2014,NA,04-02-2013,NA,04-02-2012,NA,04-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-02-2014,NA,05-02-2013,NA,05-02-2012,NA,05-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-02-2014,NA,06-02-2013,NA,06-02-2012,NA,06-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2014,NA,07-02-2013,NA,07-02-2012,NA,07-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-02-2014,NA,08-02-2013,NA,08-02-2012,NA,08-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-02-2014,NA,09-02-2013,NA,09-02-2012,NA,09-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-02-2014,NA,10-02-2013,NA,10-02-2012,NA,10-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-02-2014,NA,11-02-2013,NA,11-02-2012,NA,11-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-02-2014,NA,12-02-2013,NA,12-02-2012,NA,12-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-02-2014,NA,13-02-2013,NA,13-02-2012,NA,13-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-02-2014,NA,14-02-2013,NA,14-02-2012,NA,14-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-02-2014,NA,15-02-2013,NA,15-02-2012,NA,15-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-02-2014,NA,16-02-2013,NA,16-02-2012,NA,16-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-02-2014,NA,17-02-2013,NA,17-02-2012,NA,17-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-02-2014,NA,18-02-2013,NA,18-02-2012,NA,18-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2014,NA,19-02-2013,NA,19-02-2012,NA,19-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-02-2014,NA,20-02-2013,NA,20-02-2012,NA,20-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2014,NA,21-02-2013,NA,21-02-2012,NA,21-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2014,NA,22-02-2013,NA,22-02-2012,NA,22-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2014,NA,23-02-2013,NA,23-02-2012,NA,23-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-02-2014,NA,24-02-2013,NA,24-02-2012,NA,24-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-02-2014,NA,25-02-2013,NA,25-02-2012,NA,25-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-02-2014,NA,26-02-2013,NA,26-02-2012,NA,26-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-02-2014,NA,27-02-2013,NA,27-02-2012,NA,27-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-02-2014,NA,28-02-2013,NA,28-02-2012,NA,28-02-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-2014,NA,01-03-2013,NA,01-03-2012,NA,01-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-03-2014,NA,02-03-2013,NA,02-03-2012,NA,02-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-03-2014,NA,03-03-2013,NA,03-03-2012,NA,03-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-03-2014,NA,04-03-2013,NA,04-03-2012,NA,04-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2014,NA,05-03-2013,NA,05-03-2012,NA,05-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-03-2014,NA,06-03-2013,NA,06-03-2012,NA,06-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-03-2014,NA,07-03-2013,NA,07-03-2012,NA,07-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-03-2014,NA,08-03-2013,NA,08-03-2012,NA,08-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-03-2014,NA,09-03-2013,NA,09-03-2012,NA,09-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-03-2014,NA,10-03-2013,NA,10-03-2012,NA,10-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-03-2014,NA,11-03-2013,NA,11-03-2012,NA,11-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-03-2014,NA,12-03-2013,NA,12-03-2012,NA,12-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-03-2014,NA,13-03-2013,NA,13-03-2012,NA,13-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2014,NA,14-03-2013,NA,14-03-2012,NA,14-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2014,NA,15-03-2013,NA,15-03-2012,NA,15-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-03-2014,NA,16-03-2013,NA,16-03-2012,NA,16-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-03-2014,NA,17-03-2013,NA,17-03-2012,NA,17-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-03-2014,NA,18-03-2013,NA,18-03-2012,NA,18-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-03-2014,NA,19-03-2013,NA,19-03-2012,NA,19-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-03-2014,NA,20-03-2013,NA,20-03-2012,NA,20-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2014,NA,21-03-2013,NA,21-03-2012,NA,21-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-03-2014,NA,22-03-2013,NA,22-03-2012,NA,22-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-2014,NA,23-03-2013,NA,23-03-2012,NA,23-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-03-2014,NA,24-03-2013,NA,24-03-2012,NA,24-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-03-2014,NA,25-03-2013,NA,25-03-2012,NA,25-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-03-2014,NA,26-03-2013,NA,26-03-2012,NA,26-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2014,NA,27-03-2013,NA,27-03-2012,NA,27-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2014,NA,28-03-2013,NA,28-03-2012,NA,28-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-03-2014,NA,29-03-2013,NA,29-03-2012,NA,29-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2014,NA,30-03-2013,NA,30-03-2012,NA,30-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-03-2014,NA,31-03-2013,NA,31-03-2012,NA,31-03-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2014,NA,01-04-2013,NA,01-04-2012,NA,01-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-04-2014,NA,02-04-2013,NA,02-04-2012,NA,02-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-04-2014,NA,03-04-2013,NA,03-04-2012,NA,03-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-04-2014,NA,04-04-2013,NA,04-04-2012,NA,04-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-04-2014,NA,05-04-2013,NA,05-04-2012,NA,05-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-04-2014,NA,06-04-2013,NA,06-04-2012,NA,06-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-04-2014,NA,07-04-2013,NA,07-04-2012,NA,07-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-04-2014,NA,08-04-2013,NA,08-04-2012,NA,08-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-04-2014,NA,09-04-2013,NA,09-04-2012,NA,09-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-04-2014,NA,10-04-2013,NA,10-04-2012,NA,10-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-04-2014,NA,11-04-2013,NA,11-04-2012,NA,11-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-04-2014,NA,12-04-2013,NA,12-04-2012,NA,12-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-04-2014,NA,13-04-2013,NA,13-04-2012,NA,13-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-04-2014,NA,14-04-2013,NA,14-04-2012,NA,14-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-04-2014,NA,15-04-2013,NA,15-04-2012,NA,15-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-04-2014,7,16-04-2013,5,16-04-2012,-4,16-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-04-2014,12,17-04-2013,1,17-04-2012,16,17-04-2011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-04-2014,12,18-04-2013,7,18-04-2012,10,18-04-2011,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-04-2014,NA,19-04-2013,1,19-04-2012,-10,19-04-2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-04-2014,NA,20-04-2013,NA,20-04-2012,9,20-04-2011,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-04-2014,-2,21-04-2013,NA,21-04-2012,NA,21-04-2011,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
